id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,code,shape_Leng,shape_Area
4137,Cephalophus adersi,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,CR,2.253706747,0.088785315
4137,Cephalophus adersi,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Zanzibar,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,CR,2.86332526,0.12766505
4137,Cephalophus adersi,1,3,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,Translocated population.,Chumba,,,Introduced,,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,CR,0.044286024,0.000086925
4137,Cephalophus adersi,4,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,Tumbatu,,,Possibly Extinct,,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,CR,0.23248454,0.00140209
4138,Cephalophus callipygus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,LC,42.12455245,60.64344929
4139,Cephalophus dorsalis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,castaneus,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,NT,79.58494515,241.6746316
4139,Cephalophus dorsalis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,dorsalis,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,NT,66.43118972,49.37776141
4139,Cephalophus dorsalis,3,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,castaneus,,Possibly Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,NT,1.970087545,0.253695415
4153,Cephalophus zebra,3,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,,,Possibly Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,VU,0.651409383,0.01347599
4154,Cephalophus harveyi,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,LC,63.96186483,28.61882473
4140,Cephalophus jentinki,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,EN,17.32233589,4.881181429
4141,Cephalophus leucogaster,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,NT,61.49452155,81.56119942
4141,Cephalophus leucogaster,3,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,,,Possibly Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,NT,6.167685281,2.33213892
4142,Philantomba maxwellii,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Philantomba,LC,65.1127558,71.66533641
4143,Philantomba monticola,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Philantomba,LC,219.8638028,524.8478012
4143,Philantomba monticola,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Bioko,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Philantomba,LC,1.853929077,0.157989625
4143,Philantomba monticola,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Mafia,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Philantomba,LC,1.411138965,0.03513246
4154,Cephalophus harveyi,3,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,This is a possible record but may represent Cephalophus weynsi.,,,,Possibly Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Cephalophus,LC,1.290953558,0.09346725
4143,Philantomba monticola,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature),,,Pemba,,,Extant (resident),,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Philantomba,LC,3.146184884,0.07410917
